target,tier,mae,r2,dir_accuracy,train_rows,features,log_transform,trained_at
PTS,ELITE,1.1407,0.9405,92.58,18110,180,False,2026-05-29 00:57
REB,ELITE,1.455,0.6411,72.81,18110,180,False,2026-05-29 00:57
AST,ELITE,1.1497,0.563,65.39,18110,180,False,2026-05-29 00:57
PRA,STRONG,2.2846,0.9077,88.87,18110,180,False,2026-05-29 00:57
PR,STRONG,1.9317,0.9151,89.91,18110,180,False,2026-05-29 00:58
PA,STRONG,1.6948,0.92,90.68,18110,180,False,2026-05-29 00:58
RA,STRONG,1.8875,0.6698,74.8,18110,180,False,2026-05-29 00:59
SB,DECENT,0.8879,0.2079,62.77,18110,180,True,2026-05-29 00:59
FG3M,STRONG,0.202,0.8815,73.87,18110,180,True,2026-05-29 00:59
FTM,STRONG,0.4118,0.854,79.2,18110,180,False,2026-05-29 00:59
STL,DECENT,0.7085,0.1119,58.46,18110,180,True,2026-05-29 00:59
TOV,DECENT,0.8612,0.3056,68.75,18110,180,True,2026-05-29 00:59
FGM,DECENT,0.4833,0.9199,88.47,18110,180,False,2026-05-29 01:00
DREB,RISKY,1.2935,0.5408,67.29,18110,180,False,2026-05-29 01:00
OREB,RISKY,0.7251,0.3489,59.01,18110,180,True,2026-05-29 01:00
FPTS,STRONG,4.1698,0.8104,83.88,18110,180,False,2026-05-29 01:00
